place_id,name,rental_signal,matched_tiers,matched_activities,match_pairs,rating,user_rating_count,business_status,primary_type,website,source_url,phone,address,lat,lng,matched_anchors,matched_terms,last_verified
ChIJc5NXj0DnyIARAqYeJtaU_3s,SunBuggy Fun Rentals,true,core,atv,1,4.9,13041,OPERATIONAL,Tour Agency,http://www.sunbuggy.com/lasvegas,https://maps.google.com/?cid=8935023833209808386&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(702) 644-2855,"6925 Speedway Blvd c106, Las Vegas, NV 89115, USA",36.278287899999995,-115.0198508,virginia-city,atv rental,2026-06-21
ChIJ56qGQda2woAR-zkeTlpu3d4,SIXT Car Rental - Los Angeles International Airport (LAX),true,core,offroad-4x4,1,4.2,12795,OPERATIONAL,Car Rental Agency,https://www.sixt.com/car-rental/usa/los-angeles/los-angeles-airport/?utm_source=google_business&utm_medium=organic&utm_campaign=Listings&c1=US&c2=los-angeles&c3=los-angeles-airport,https://maps.google.com/?cid=16059113180409772539&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(888) 749-8227,"Rental Car Facility, 5251 W 98th St, Los Angeles, CA 90045, USA",33.9504105,-118.3734047,reno,4x4 rental,2026-06-21
ChIJP0gnC584mYARwVqDvMZjZw0,Walmart Supercenter,true,gap,fishing-gear,2,3.6,9707,OPERATIONAL,Department Store,https://www.walmart.com/store/2106-reno-nv/?veh=seo_loc,https://maps.google.com/?cid=965850350311660225&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 359-8200,"2425 E 2nd St, Reno, NV 89502, USA",39.5288615,-119.7816991,reno; sparks,fishing tackle shop,2026-06-21
ChIJyWg1Eus-mYARF-cr0tUY-38,The Outlets at Legends,true,core,gear-shop,3,4.5,8660,OPERATIONAL,Shopping Mall,https://www.reddevelopment.com/outlets-at-legends/?utm_source=google&utm_medium=gmb,https://maps.google.com/?cid=9221991968604415767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 358-3800,"1310 Scheels Drive, Sparks, NV 89434, USA",39.531658900000004,-119.72089029999998,sparks; verdi; virginia-city,sporting goods store,2026-06-21
ChIJc_iYcX0_mYAR31znqX30hYc,Dolan Toyota,true,core,offroad-4x4,2,4.5,7791,OPERATIONAL,Car Dealer,https://www.dolanrenotoyota.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=website_button,https://maps.google.com/?cid=9765480187581390047&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 826-2750,"2100 Kietzke Ln, Reno, NV 89502, USA",39.5028924,-119.78821389999999,reno; sparks,4x4 rental,2026-06-21
ChIJG_MAHWlimYARQhbFNZ29CPE,Northstar California Resort,true,core; experience,ice-skate; snow-tube,34,4.5,6257,OPERATIONAL,Ski Resort,https://www.northstarcalifornia.com/,https://maps.google.com/?cid=17368340445863941698&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(800) 466-6784,"5001 Northstar Dr, Truckee, CA 96161, USA",39.264657899999996,-120.13318679999999,carson-city; carson-valley-e; donner-summit; gardnerville; hope-valley-s; incline-village; kings-beach; kirkwood; reno; south-lake-tahoe; sparks; tahoe-city; truckee; verdi; virginia-city; zephyr-cove,ice skate rental; ice skating rink; sledding hill; snow tubing,2026-06-21
ChIJqz5yWXZAmYARKAaesoimgrs,Walmart Supercenter,true,gap,fishing-gear,1,3.6,5502,OPERATIONAL,Department Store,https://www.walmart.com/store/2189-reno-nv/?veh=seo_loc,https://maps.google.com/?cid=13511544938107373096&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 829-8088,"4855 Kietzke Ln, Reno, NV 89509, USA",39.48038100000001,-119.79866790000001,reno,fishing tackle shop,2026-06-21
ChIJrwZ5sWSpQIYRFrax39gGCWk,Texas ATV Rentals (Houston),true,core; experience,atv,8,5,5234,OPERATIONAL,Services,https://texasatvrentals.net/,https://maps.google.com/?cid=7568588177308497430&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(281) 707-9652,"19505 Crosby Fwy, Houston, TX 77049, USA",29.8654096,-95.0962527,carson-valley-e; kings-beach; kirkwood; reno; south-lake-tahoe; sparks; verdi; virginia-city,atv rental; atv tours,2026-06-21
ChIJi9mQgcs2mYARyAkJoxfflYI,Walmart Supercenter,true,gap,fishing-gear,1,3.7,5148,OPERATIONAL,Department Store,https://www.walmart.com/store/3729-sparks-nv/?veh=seo_loc,https://maps.google.com/?cid=9409672289073039816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 425-9300,"5065 Pyramid Way, Sparks, NV 89436, USA",39.5845489,-119.7460708,reno,fishing tackle shop,2026-06-21
ChIJYbrN2ZBGmYARlnBnuBvgYG4,Walmart Supercenter,true,gap,fishing-gear,1,3.6,5147,OPERATIONAL,Department Store,https://www.walmart.com/store/3254-reno-nv/?veh=seo_loc,https://maps.google.com/?cid=7953603351598821526&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 624-2000,"5260 W 7th St, Reno, NV 89523, USA",39.535623099999995,-119.86794519999998,reno,fishing tackle shop,2026-06-21
