place_id,name,rental_signal,matched_tiers,matched_activities,match_pairs,rating,user_rating_count,business_status,primary_type,website,source_url,phone,address,lat,lng,pure_service_area_business,matched_tile_count,matched_terms,matched_modes,last_verified,possible_duplicate_of,likely_irrelevant
ChIJlyhS79BEmYAR44sq2i4iXD4,Cabela's,true,core; gap,alpine-ski; archery; camping; fishing-gear; fly-fishing; gear-shop; snowboard,8,4.5,4043,OPERATIONAL,Sporting Goods Store,https://stores.cabelas.com/us/nv/verdi/8650-boomtown-garson-road.html?y_source=1_Mzk4NjcyNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://maps.google.com/?cid=4493504112832973795&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 829-4100,"8650 Boomtown Garson Road, Verdi, NV 89439, USA",39.513096,-119.9686998,false,1,archery pro shop; camping gear rental; fishing bait and tackle shop; fly fishing outfitter; outdoor gear rental; ski shop; snowboard shop; sporting goods store,standard,2026-06-24,,false
ChIJLVp878I-mYARYLEaJBzjspU,Sparks Marina Park,true,core,powerboat,1,4.5,3723,OPERATIONAL,Park,https://www.cityofsparks.us/business_detail_T71_R47.php,https://maps.google.com/?cid=10786933767510077792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 353-2376,"300 Howard Dr, Sparks, NV 89434, USA",39.5349222,-119.73151619999999,false,1,boat rental,standard,2026-06-24,,false
ChIJHefXBOs-mYARYT-GUi8dUKU,Scheels,true,core; gap,alpine-ski; archery; backpacking; camping; climbing; cycling; disc-golf; fishing-gear; gear-shop; ice-skate; mtb; nordic-ski; pwc; snowboard; snowshoe,20,4.6,3537,OPERATIONAL,Sporting Goods Store,https://www.scheels.com/store/reno-sparks/074?utm_source=google&utm_medium=yext,https://maps.google.com/?cid=11912053103480160097&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 331-2700,"1200 Scheels Drive, Sparks, NV 89434, USA",39.5307381,-119.72168029999997,false,1,archery pro shop; archery range; backpacking gear rental; bike rental; bike shop; camping gear rental; climbing gear rental; cross country ski rental; disc golf rental; fishing bait and tackle shop; ice skate rental; jet ski rental; mountain bike rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,standard,2026-06-24,,false
ChIJ6TmJWcA_mYARP3teDQ58QOQ,Cash My Guns,true,core,gear-shop,3,4.9,2594,OPERATIONAL,Sporting Goods Store,http://www.cashmyguns.com/,https://maps.google.com/?cid=16447282238952733503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 432-6006,"4865 Longley Ln Ste A, Reno, NV 89502, USA",39.4821389,-119.76346799999997,false,3,sporting goods store,standard,2026-06-24,,false
ChIJVVVVVSU-mYARubJ_sUgxWsA,Avis Car Rental,true,core,offroad-4x4,1,4.1,1922,OPERATIONAL,Car Rental Agency,https://www.avis.com/en/locations/nam/us/nv/reno/rno?utm_source=google&utm_medium=gbp&utm_campaign=avis_gbp,https://maps.google.com/?cid=13860444991471465145&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 524-4730,"2001 E Plumb Ln, Reno, NV 89502, USA",39.5058565,-119.774971,false,1,4x4 rental,standard,2026-06-24,,true
ChIJJxblwNxvmYARwEeMhNlwCmg,Vista Trail Bikes,true,core,cycling; ebike; mtb,5,5,1811,OPERATIONAL,Services,https://vistatrailbikes.com/,https://maps.google.com/?cid=7496928609245611968&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(775) 298-7431,"By Starbucks, 893 Tahoe Blvd Ste 900, Incline Village, NV 89451, USA",39.2493243,-119.95371829999998,false,1,bike rental; bike shop; downhill bike park rental; ebike rental; mountain bike rental,standard,2026-06-24,,false
ChIJwSwnjo03mYARYgUbPLXhQS0,Worldwide Cyclery,true,core,cycling; gear-shop; mtb,4,4.9,1738,OPERATIONAL,Bicycle Shop,https://www.worldwidecyclery.com/,https://maps.google.com/?cid=3261135773706683746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(805) 375-4525,"165 Design Place Ste 105, Sparks, NV 89441, USA",39.6771278,-119.71096030000001,false,1,bike rental; bike shop; mountain bike rental; sporting goods store,standard,2026-06-24,,false
ChIJcWCd2jPem4ARMrf4Ao6HBUw,The BackCountry,true,core,alpine-ski; backcountry-ski; backpacking; camping; climbing; cycling; ebike; gear-shop; mtb; nordic-ski; snowboard; snowshoe,21,4.9,1601,OPERATIONAL,Bicycle Shop,http://www.thebackcountry.com/,https://maps.google.com/?cid=5477933565771036466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(530) 582-0909,"11400 Donner Pass Rd #100, Truckee, CA 96161, USA",39.326412499999996,-120.2102677,false,3,alpine touring ski rental; backcountry ski rental; backpacking gear rental; bike rental; bike shop; camping gear rental; climbing gear rental; cross country ski rental; ebike rental; mountain bike rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; splitboard rental; sporting goods store,standard,2026-06-24,,false
ChIJBxU-wIxgmYARsSke3Ez3MXo,North Lake Tahoe Boat Rental,true,core; gap,alpine-ski; canoe; fishing-charter; kayak; pontoon; powerboat; pwc; sailing; wakeboard; watersports,18,5,1585,OPERATIONAL,Services,https://northlaketahoeboatrental.com/,https://maps.google.com/?cid=8805090655968569777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(530) 562-7827,"7220 N Lake Blvd, Tahoe Vista, CA 96148, USA",39.2383934,-120.045466,false,3,boat charter; boat rental; canoe rental; catamaran rental; fishing charter; jet ski rental; kayak rental; lake toy rental; motorboat rental; personal watercraft rental; pontoon rental; sailboat rental; ski boat rental; ski rental; wakeboard boat rental; watersports rental; waverunner rental,standard,2026-06-24,,false
ChIJ97RGLQmQmYARjIJ3oik8M94,Tahoe Sport Fishing,true,core; gap,fishing-charter; powerboat,2,4.9,1584,OPERATIONAL,Fishing Charter,http://tahoesportfishing.com/,https://maps.google.com/?cid=16011207249749312140&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,(530) 541-5448,"900 Ski Run Blvd #101, South Lake Tahoe, CA 96150, USA",38.9495624,-119.959324,false,1,boat charter; fishing charter,standard,2026-06-24,,false
