rank,status,reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,possible_duplicate_of,place_id,source_url
1,needs_review,gate3:firearm_business_review,Cash My Guns,http://www.cashmyguns.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.9,2594,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJ6TmJWcA_mYARP3teDQ58QOQ,https://maps.google.com/?cid=16447282238952733503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
2,needs_review,gate3:firearm_business_review,Reno Guns & Range,https://renoguns.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.4,418,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJEx2nu2A_mYARgbwxIv--PN8,https://maps.google.com/?cid=16085941972060191873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
3,needs_review,gate3:firearm_business_review,RAC Guns & Ammo,http://racgunsandammo.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.4,367,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJB3B2EWg_mYARI9BBbwzlLjI,https://maps.google.com/?cid=3616079392394039331&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4,needs_review,gate3:firearm_business_review,Juggernaut Arms,http://www.juggernautarms.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.6,241,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJdyuLmx8_mYARJ3GHkUkHrTI,https://maps.google.com/?cid=3651582885422919975&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
5,needs_review,gate5_pre:no_website_field,Home Team Sports Collectibles,,Store,store,OPERATIONAL,4.4,163,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJo8DetYtAmYAR4l0ifYIrIUo,https://maps.google.com/?cid=5341598472483266018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
6,needs_review,gate5_pre:no_website_field,Blue Sun Boat Rentals,,Services,service,OPERATIONAL,5,15,true,canoe; pontoon; powerboat,boat rental; canoe rental; motorboat rental; pontoon rental,core,service-area,service_area_unknown_location,,operator,,,,ChIJQyqVfYmbmYARRq9JoIFNTlo,https://maps.google.com/?cid=6507223730732248902&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
7,needs_review,gate5_pre:no_website_field,"Ball Hogs Sports Cards, Collectibles & More",,Store,store,OPERATIONAL,4.5,151,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJKb9R3HdAmYARAS4Qy-DIhD0,https://maps.google.com/?cid=4432888801044475393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
8,needs_review,gate3:firearm_business_review,Wild Bill's Guns Too,,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.2,120,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJi2iIy78KmYARSuIOwZTNaJU,https://maps.google.com/?cid=10766080948007002698&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
9,needs_review,gate3:firearm_business_review,Willey Brothers Firearms,http://willeybrothersfirearms.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.2,119,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJr1XoLzkVmYARCcVd2sPgPHk,https://maps.google.com/?cid=8736104508978742537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
10,needs_review,gate3:firearm_business_review,Hi-cap firearms jewelry and more,https://www.pawnworldrenonv.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.9,107,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJQbD3TpBAmYARtqedhTR54Ac,https://maps.google.com/?cid=567586819535644598&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
