rank,status,reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,site_relevance,possible_duplicate_of,place_id,source_url
1,duplicate,gate4:name+loc:actionwatersportsatlakesidemarina,Action Watersports at Lakeside Marina,http://www.action-watersports.com/,Services,service,OPERATIONAL,4.3,511,true,alpine-ski; canoe; kayak; pontoon; powerboat; pwc; sailing; sup; wakeboard; watersports,boat charter; boat rental; canoe rental; jet ski rental; kayak rental; kayak tours; motorboat rental; paddleboard rental; personal watercraft rental; pontoon rental; sailboat rental; ski boat rental; ski rental; watersports rental; waverunner rental,core,standard,covered_tile,0,operator,name+loc:actionwatersportsatlakesidemarina,,,,ChIJz27tiZ-amYARUgJHvRMubbg,https://maps.google.com/?cid=13289328737755005522&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
2,duplicate,gate4:name+loc:actionwatersportsattimbercovemarina,Action Watersports at Timber Cove Marina,http://www.action-watersports.com/,Services,service,OPERATIONAL,3.9,72,true,alpine-ski; canoe; kayak; pontoon; powerboat; pwc; sailing; sup; wakeboard; watersports,boat charter; boat rental; canoe rental; jet ski rental; kayak rental; kayak tours; motorboat rental; paddleboard rental; personal watercraft rental; pontoon rental; sailboat rental; ski boat rental; ski rental; watersports rental; waverunner rental,core,standard,covered_tile,0,operator,name+loc:actionwatersportsattimbercovemarina,,,,ChIJQc7aFQSQmYAR-OvmOAaFzzk,https://maps.google.com/?cid=4165694442111953912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
3,duplicate,gate4:name+loc:adrifttahoe,Adrift Tahoe,http://www.standuppaddletahoe.com/,Services,service,OPERATIONAL,4.8,39,true,canoe; cycling; kayak; powerboat; river-tube; sup; watersports; windsurf,bike rental; bike shop; boat rental; canoe rental; kayak rental; kayak tours; paddleboard rental; river float rental; watersports rental; windsurfing rental,core,standard,covered_tile,0,operator,name+loc:adrifttahoe,,,,ChIJFZUMgCx7mYARHHrlmZXu1t0,https://maps.google.com/?cid=15985226253697645084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4,duplicate,gate4:name+loc:adventurelaketahoe,Adventure Lake Tahoe,http://adventureslaketahoe.com/,Adventure Sports Center,adventure_sports_center,OPERATIONAL,4.9,143,true,archery; atv; powerboat; river-tube; snow-tube; snowmobile; utv; watersports,archery range; atv rental; boat rental; quad rental; river float rental; rzr rental; side by side rental; sled rental; snowmobile rental; utv rental; watersports rental,core; experience; gap,standard,covered_tile,0,operator,name+loc:adventurelaketahoe,,,,ChIJI4L6yJGRmYARfBLy5H-ZHGY,https://maps.google.com/?cid=7357924665797513852&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
5,duplicate,gate4:name+loc:adventurescubacenter,Adventure Scuba Center,http://www.renoscuba.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.9,71,true,gear-shop; scuba,dive shop; scuba diving; sporting goods store,core; experience,standard,covered_tile,0,operator,name+loc:adventurescubacenter,,,,ChIJ7zT543dAmYAROJg-2K9kqGA,https://maps.google.com/?cid=6964927530138507320&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
6,duplicate,gate4:domain+loc:tahoedonner.com,Alder Creek Adventure Center,https://www.tahoedonner.com/amenities/amenities/alder-creek-adventure-center/,Ski Resort,ski_resort,OPERATIONAL,4.8,253,true,alpine-ski; nordic-ski; snowshoe,cross country ski rental; nordic ski center; ski rental; snowshoe rental,core,standard,covered_tile,0,operator,domain+loc:tahoedonner.com,,,,ChIJlR4YgSrnm4ARApSSsylmGNE,https://maps.google.com/?cid=15066904882660414466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
7,duplicate,gate4:name+loc:allstarrents,All Star Rents,http://reno.allstarrents.com/,Services,service,OPERATIONAL,4.8,585,true,gear-shop,outdoor equipment rental,core,standard,covered_tile,0,operator,name+loc:allstarrents,,,,ChIJ07qIFkY_mYARufQVHTU-UmI,https://maps.google.com/?cid=7084793561649378489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
8,duplicate,gate4:name+loc:alpenglowexpeditions,Alpenglow Expeditions,https://alpenglowexpeditions.com/,,,OPERATIONAL,4.9,420,true,backcountry-ski; climbing,backcountry ski rental; climbing gear rental,core,standard,covered_tile,0,operator,name+loc:alpenglowexpeditions,,,,ChIJ1RqB2urZm4AR4qcaOJAfq7M,https://maps.google.com/?cid=12946476258083645410&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
9,duplicate,gate4:name+loc:alpenglowsports,Alpenglow Sports,http://www.alpenglowsports.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.7,197,true,alpine-ski; backcountry-ski; backpacking; camping; climbing; cycling; gear-shop; ice-climb; nordic-ski; snowboard; snowshoe,alpine touring ski rental; backcountry ski rental; backpacking gear rental; bike shop; camping gear rental; climbing gear rental; cross country ski rental; mountaineering gear rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core,standard,covered_tile,0,operator,name+loc:alpenglowsports,,,,ChIJfwaAbXZ9mYARDUP7ClnaRuk,https://maps.google.com/?cid=16809362735178138381&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
10,duplicate,gate4:domain+loc:palisadestahoe.com,Alpine Base Area at Palisades Tahoe,https://www.palisadestahoe.com/explore/palisades-tahoe-ski-resort#tab=alpine-meadows,Ski Resort,ski_resort,OPERATIONAL,4.7,1215,true,alpine-ski; backcountry-ski; snow-tube,alpine touring ski rental; ski rental; snow tube rental,core; experience,standard,covered_tile,0,operator,domain+loc:palisadestahoe.com,,,,ChIJ1dX2qkfXm4ARJXJAHWapnYk,https://maps.google.com/?cid=9916268210582221349&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
