rank,name,website,reachable,pages_fetched,place_id
1,Worldwide Cyclery,https://www.worldwidecyclery.com/,true,6,ChIJwSwnjo03mYARYgUbPLXhQS0
2,Tahoe Sport Fishing,http://tahoesportfishing.com/,true,1,ChIJ97RGLQmQmYARjIJ3oik8M94
3,Tahoe Bliss Boat Charters,https://tahoeblissboatcharters.com/,true,6,ChIJAUbDPrZ9mYARboTc4ZxoE8o
4,Roller Kingdom,https://www.rollerkingdom.org/,true,1,ChIJCcts2khHmYARV1RFZyD6QGY
5,Donner Ski Ranch,http://www.donnerskiranch.com/,true,6,ChIJm8gDU2jom4AReI3ERfRBTQ8
6,Homewood Mountain Resort,http://www.skihomewood.com/,true,6,ChIJXwBiR9p_mYARjQbBoGrEsHM
7,The Tahoe Experience,http://thetahoeexperience.com/,true,1,ChIJG1pSOoE7WaIR4hsZXbN-jQY
8,"All Around Tahoe - Paddleboards, Kayaks, Bikes rental & more!",http://allaroundtahoe.com/,true,1,ChIJvdVfnIBxmYARVBhRpbkSIXU
9,C-A-L Ranch Stores,https://www.calranch.com/about/store-locations/carson-city,true,6,ChIJTzn0DcAKmYARxoee15mGbs0
10,Round Hill Pines Beach Resort,http://roundhillpinesresort.com/,true,2,ChIJFXdv_-CamYARFr_F-9yo_ZY
11,Lake Tahoe Bleu Wave,http://www.tahoebleuwave.com/,true,1,ChIJzyEEtN-amYARRRhbkQCJ28k
12,Michael's Reno Powersports,https://www.michaelsreno.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB-service,true,6,ChIJQ9CNBxgVmYARWYRFC6jt0AI
13,Red Hawk Golf and Resort,http://www.redhawkgolfandresort.com/,true,3,ChIJeSCA0iI6mYARdGkgQxgKutM
14,Rent A Boat Lake Tahoe,https://www.rentaboattahoe.com/,true,6,ChIJ_-5TXat6mYARCYfaxvb_aVg
15,North Tahoe Wakesurf and Charter,http://wakesurfnorthtahoe.com/,true,4,ChIJ49lVJYGecw0RKKXgkSl03yI
16,The Spa and Sauna Co. - S Reno,https://spaandsauna.com/locations-south-virginia-st-reno/?utm_source=organic&utm_medium=GMB&utm_campaign=GMB%20Spa%20and%20Billiard&utm_content=GMB%20Virginia%20St,true,6,ChIJB5oFDj8VmYAR9PxnV3JuLiI
17,Tahoe Keys Marina,https://tahoekeysmarina.com/,true,3,ChIJ0_Pg0Y2PmYARH5uyZfJE8Bo
18,Lake Tahoe Casino Party,http://www.laketahoecasinoparty.com/,true,3,ChIJeUDaKo0VmYARYOXHK-9TNj4
19,Tahoe Cruises /Spirit of Tahoe / Safari Rose,http://www.tahoecruises.com/,true,4,ChIJwdKiDN6amYARmHcUTF73q5k
20,Super Simple Photography,https://www.supersimpleco.com/,true,3,ChIJmUKkOV2FfoIRnXIQCTxI5RU
21,Sail Tahoe Blue | Sailing Cruises,http://www.sailtahoeblue.com/,true,1,ChIJs20KKZiRmYARH90vw83AWkU
22,Greenhouse Garden Center and Gift Shop,http://www.greenhousegardencenter.com/,true,3,ChIJ4xKSCRSgmYAR2-u3F9IfKCM
23,Tahoe Surf Company,http://www.tahoesurfcompany.com/,true,2,ChIJVVJQEh9gmYARhP2i4lexGrY
24,PlumpJack Inn,https://www.plumpjackinn.com/?utm_medium=organic&utm_source=google&utm_campaign=business-listing,true,2,ChIJZ5DAu_TXJIgR7irwk2GeSMo
25,Truckee Watersports,https://www.truckeewatersports.com/,true,1,ChIJ67e0W4xhmYAR7ek85J3KG0c
26,Tahoe Wakebusters,http://www.tahoewakebusters.com/,true,3,ChIJC-M6c2mDmYARooZiRflQOuc
27,Starbucks Coffee Company,https://www.starbucks.com/store-locator/store/1020531,true,1,ChIJh3Vq9Erem4ARp7DlEopmp64
28,MetroPawn,https://ezpawn.com/stores/nv/sparks/255-e-glendale-ave,true,5,ChIJmf-M8-A-mYARc6_PtX-mJWY
29,EuroCycle Reno,https://rideeurocycle.com/,true,2,ChIJt_DfxUAVmYAR4rshiiKBf5k
30,Tahoe Paradise Park,http://www.tahoeparadisepark.com/,true,3,ChIJcaR1JCqMmYARM3vcgiLxcpM
31,Drink Coffee Do Stuff,https://drinkcoffeedostuff.com/,true,6,ChIJR0FCx26RmYARC1DXrYKAuMU
32,Coffeebar,https://www.coffeebar.com/,true,6,ChIJGdQ_nOvZm4ARCVcV08a8cic
33,The Water Traveler,https://www.thewatertraveler.com/,true,6,ChIJuwLh4faLfgURUsImlalbIaw
34,Float Reno,http://www.floatreno.com/,true,2,ChIJ4XP3hnRmFUQRwCjwaFfHQaY
35,Tahoe Lake Tours,https://tahoeboattours.com/,true,2,ChIJT720oDKPmYARl61Bj0YsY04
36,Tahoe City Marina,https://tahoecitymarina.com/,true,6,ChIJH4LWWHR9mYARypcqpL18ETo
37,Reno Running Company,http://www.renorunningcompany.com/?utm_source=GBP&utm_medium=organic&utm_campaign=office,true,2,ChIJe7KVfY4UmYAR3qXoQM1Ay4Y
38,Tahoe Paddleboard,http://tahoepaddleboards.com/,true,2,ChIJ61OIM8JdvisRals0bp9N-Kw
39,Wildcreek Golf Course,http://wildcreekgolf.org/,true,1,ChIJ4S8bg5Q4mYARXFLK0q7-JzY
40,Ridezilla Carson City,https://www.ridezillacarsoncity.com/?utm_source=GBP&utm_medium=organic&utm_campaign=Google+Business+Profile,true,6,ChIJKxjishWgmYARWBVz_LczFyE
41,Custom Truck Accessories,http://www.customtruckaccessories.com/,true,6,ChIJ68T-F6hAmYAREF_0sCPEfNg
42,Big Valley Honda,https://www.bigvalleyhonda.com/,true,3,ChIJV-HhD14_mYAR-b3DwgBOgkM
43,395 Motorsports,https://395motorsports.com/,true,6,ChIJVQxMsMKhmYAR_PyQ-fh0wow
44,Boat Tahoe,http://www.boat-tahoe.com/,true,6,ChIJEdu51jmPmYARTJ23sNf4XRo
45,Soaring Ranch,https://www.soaringranch.com/,true,2,ChIJZUB46UNhmYARbSvWYOfMMQA
46,North Tahoe Cruises - Tahoe Gal,http://www.tahoegal.com/,true,2,ChIJc6q_mnR9mYARpe52BYgwqMY
47,Sky Tavern Ski Area,http://www.skytavern.com/,true,6,ChIJFZVNNyJsmYARqosfF4RISB4
48,Reno Ice - The Jennifer M. O'Neal Community Ice Arena,http://renoice.com/,true,4,ChIJb4kBX-c_mYARuEEVusInJmM
49,Flip's Boats,http://flipsboats.com/,true,1,ChIJsx-cX9vjmiERQCS6KfXmm5k
