"status","rank","source","name","place_id","website","rents_gear","categories","review_categories","confidence","evidence_snippet","note","rental_page_urls","checked_urls"
"needs_review","8","original","Alpenglow Sports","ChIJfwaAbXZ9mYARDUP7ClnaRuk","http://www.alpenglowsports.com/","false","-","snow_sports, camping","low","Fetched pages show a retail store with demo-gear navigation and demo-gear sale pages, but no clear rental pricing or take-away rental page.","Possible winter demo and backpacking demo program, but positive rental evidence is not clear enough.","","https://alpenglowsports.com/ https://alpenglowsports.com/collections/winter-demo-gear-sale https://alpenglowsports.com/collections/demo-ski-sale https://alpenglowsports.com/pages/backcountry-demo-days"
"needs_review","39","original","Deep Abliss Diveshop","ChIJJxPM4N-bmYARIJTP7vf24oQ","https://www.scubatahoe.com/","false","-","water_sports","low","The available evidence identifies a dive shop, but does not show a clear rental-rate page or take-away scuba rental program.","Possible scuba rentals; needs confirmation before assigning water_sports.","","https://www.scubatahoe.com/"
"needs_review","41","original","Doing It Big Rentals","ChIJ1f9UqyK_mYAR0cLcOEFKV2A","https://doingitbigrentals.com/","false","-","water_sports","low","No reachable website or fetched rental evidence was available beyond the business name.","Name suggests rentals, but category and inventory are unconfirmed.","",""
"needs_review","44","original","Donner Memorial State Park Watersport Rental","ChIJlcG4XATem4ARzXynGIqukgk","","false","-","water_sports","low","No website or fetched rental page was available, though the business name suggests a watersport rental concession.","Needs URL/category confirmation.","",""
"needs_review","48","original","Eastlake Ebike Rentals","ChIJgbTQoZkNmYARqAZOEzPZ2qc","","false","-","electric_transport, road_cycling","low","No website or fetched rental page was available beyond the Eastlake Ebike Rentals listing name.","Likely e-bike rentals, but no citable rental URL in the batch.","",""
"needs_review","57","original","Galena Sports","ChIJp9AGVYRrmYARHvdI49jldr4","","false","-","snow_sports","low","Galena Sports Galena Sports Rental, skis, snowboards, snowshoes and gear for sale and rent at budget prices.","Insufficient positive evidence for a confirmed triaged rental verdict.","",""
"needs_review","146","original","SnoVentures Activity Zone","ChIJxQ-MO-rZm4ARu5s3wrvkG-g","","false","-","snow_sports","low","SnoVentures Activity Zone SnoVentures Activity Zone SnoVentures Activity Zone ski_resort sports_activity_location point_of_interest establishment","Insufficient positive evidence for a confirmed triaged rental verdict.","",""
"needs_review","163","original","Tahoe Adventure Rentals","ChIJKR1iarZlmYARNAKF-L4g-ro","https://tahoeadventurerentals.com/","false","-","-","low","Tahoe Adventure Rentals https://tahoeadventurerentals.com/ Tahoe Adventure Rentals Tahoe Adventure Rentals point_of_interest service establishment","Insufficient positive evidence for a confirmed triaged rental verdict.","","https://tahoeadventurerentals.com/"
"needs_review","187","original","Tahoe Outdoor Adventures and Rentals","ChIJvwYAcgCPmYARLz32N5pYwvg","","false","-","-","low","Tahoe Outdoor Adventures and Rentals Tahoe Outdoor Adventures and Rentals Tahoe Outdoor Adventures and Rentals tourist_attraction point_of_interest establishment","Insufficient positive evidence for a confirmed triaged rental verdict.","",""
"needs_review","208","original","The Home Depot","ChIJ4VTFvZ44mYARShou2cYdePI","https://www.homedepot.com/l/N-Reno/NV/Reno/89512/3304?emt=MSGoogleMaps","false","-","-","low","The Home Depot https://www.homedepot.com/l/N-Reno/NV/Reno/89512/3304?emt=MSGoogleMaps The Home Depot Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).","Insufficient positive evidence for a confirmed triaged rental verdict.","","https://www.homedepot.com/l/N-Reno/NV/Reno/89512/3304?emt=MSGoogleMaps"
