status,changed,rank,name,website,categories,review_categories,confidence,evidence_snippet,note
"needs_review","no_rentals→needs_review","1","ASC Training Center (formerly Auburn Ski Club)","http://asctrainingcenter.org/","","","low","Site under maintenance; only program registration shown. Formerly Auburn Ski Club, a Nordic center that historically rents XC ski gear — browse live to confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","7","Alpenglow Expeditions","https://alpenglowexpeditions.com/","","","low","Cache captured only the homepage nav (guide/expedition tours). User reports a gear demo program; no shop/demo page fetched — browse live.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","8","Alpenglow Sports","http://www.alpenglowsports.com/","","snow_sports;camping","low","Fetched pages show a retail store with demo-gear navigation and demo-gear sale pages, but no clear rental pricing or take-away rental page.","Possible winter demo and backpacking demo program, but positive rental evidence is not clear enough."
"needs_review","no_rentals→needs_review","14","Bicycle Service Center","http://bicycleservicecenter.com/","","","low","Site is a 'Coming Soon' placeholder; bike shop/repair — cannot confirm or rule out rentals.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","41","Doing It Big Rentals","https://doingitbigrentals.com/","","water_sports","low","No reachable website or fetched rental evidence was available beyond the business name.","Name suggests rentals, but category and inventory are unconfirmed."
"needs_review","","44","Donner Memorial State Park Watersport Rental","","","water_sports","low","No website or fetched rental page was available, though the business name suggests a watersport rental concession.","Needs URL/category confirmation."
"needs_review","","48","Eastlake Ebike Rentals","","","electric_transport;road_cycling","low","No website or fetched rental page was available beyond the Eastlake Ebike Rentals listing name.","Likely e-bike rentals, but no citable rental URL in the batch."
"needs_review","no_rentals→needs_review","64","Heavenly Sports - Tamarack Lodge","","","","low","No page fetched; part of the Heavenly Sports ski-rental chain (sibling locations rent ski/snowboard). Confirm this location's rentals.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","67","Just So Scuba","","","","low","No website fetched; scuba operator that plausibly rents dive gear vs. guide/instruct only.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","79","Lake Tahoe Floats","http://www.laketahoefloats.com/","","","low","Site unreachable; name implies raft/float rentals — confirm self-guided rental vs. tour.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","85","Love Your Life BackCountry","https://loveyourlifebackcountry.com/","","","low","Site 'under construction'; backcountry name implies possible ski/gear rental.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","87","Moto Tahoe","","","","low","No website fetched; 'Moto' implies motorcycle/off-road rental or tours — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","102","Paddle To You","http://www.paddletoyoutahoe.com/","","","low","Fetched page had no text; name implies mobile SUP/kayak rental delivery — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","117","Quiver Sports","http://www.quiversports.com/","","","low","No page fetched; ski/board 'quiver' shop that plausibly rents — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","120","RMU Truckee Ski Shop","https://mtnculture.com/pages/rmu-truckee","","","low","Ski-brand flagship store with a 'Demo RMU Skis' locator; unclear if a paid ski demo/rental program runs at the Truckee shop — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","146","SnoVentures Activity Zone","","","snow_sports","low","SnoVentures Activity Zone SnoVentures Activity Zone SnoVentures Activity Zone ski_resort sports_activity_location point_of_interest establishment","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","161","Totally Board","http://www.totallyboardtahoe.com/","","","low","Only page title fetched: 'Truckee's Premier Snowboard & Skate Shop.' Snowboard shops commonly rent — confirm.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","","187","Tahoe Outdoor Adventures and Rentals","","","","low","Tahoe Outdoor Adventures and Rentals Tahoe Outdoor Adventures and Rentals Tahoe Outdoor Adventures and Rentals tourist_attraction point_of_interest establishment","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","","208","The Home Depot","https://www.homedepot.com/l/N-Reno/NV/Reno/89512/3304?emt=MSGoogleMaps","","","low","The Home Depot https://www.homedepot.com/l/N-Reno/NV/Reno/89512/3304?emt=MSGoogleMaps The Home Depot Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).","Insufficient positive evidence for a confirmed triaged rental verdict."
"needs_review","no_rentals→needs_review","214","Truckee River Raft Co.","http://www.truckeeriverraft.com/","","","low","Homepage advertises Truckee River rafting ('The Original Lake Tahoe Rafting Outfitter, Book Now'). Likely a self-guided raft rental with shuttle — confirm rental vs. guided trip.","Patch: original run made a confident no_rentals on a thin/partial fetch; flip to needs_review (browse live)."
"needs_review","no_rentals→needs_review","215","Truckee River Raft Co.","http://www.truckeeriverraft.com/","","","low","Truckee River rafting outfitter; likely a self-guided raft rental with shuttle — confirm rental vs. guided trip. Duplicate listing.","Patch: consistency with the other Truckee River Raft Co. row; browse live."
